Qrain;ET;Qin
0;0;0
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0.000400802
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
0;0.001958;0
